Year,Chad,South Sudan,Uganda,Ethiopia,Kenya
2000,17436,,212156,71732,55585
2001,12558,,176766,80934,69804
2002,12729,,188194,89952,57779
2003,110000,,198281,94899,63197
2004,224924,,214673,90451,67556
2005,228836,,212857,73927,76646
2006,233025,,215675,66980,73004
2007,242555,,162063,35493,45261
2008,267966,,56883,25913,28496
2009,262194,,20836,23516,20315
2010,278257,,19382,25238,20528
2011,298311,76845,18268,45286,17568
2012,306960,176834,7910,27175,3157
2013,352948,208130,1068,33582,3907
2014,357711,225727,1802,35447,3381
2015,299750,241002,1992,37785,3419
2016,312468,241510,2545,39896,2863
2017,324327,261983,2355,43892,2922
2018,336674,269924,2802,44003,3582
2019,335246,275563,2627,41479,3568
2020,363597,279812,2717,42658,3891
