"Year","Country.of.origin","Country.of.origin..ISO.","Country.of.asylum","Country.of.asylum..ISO.","Refugees.under.UNHCR.s.mandate","Asylum.seekers","IDPs.of.concern.to.UNHCR","Venezuelans.displaced.abroad","Stateless.persons","Others.of.concern"
2000,"Afghanistan","AFG","Afghanistan","AFG",0,0,758625,NA,0,0
2000,"Iraq","IRQ","Albania","ALB",9,0,0,NA,0,0
2000,"Iraq","IRQ","Algeria","DZA",5,0,0,NA,0,0
2000,"Somalia","SOM","Algeria","DZA",14,12,0,NA,0,0
2000,"Sudan","SDN","Algeria","DZA",6,0,0,NA,0,0
2000,"Syrian Arab Rep.","SYR","Algeria","DZA",5,0,0,NA,0,0
2000,"Somalia","SOM","Angola","AGO",5,0,0,NA,0,0
2000,"Sudan","SDN","Angola","AGO",5,0,0,NA,0,0
2000,"Afghanistan","AFG","Egypt","EGY",60,21,0,NA,0,0
2000,"Iraq","IRQ","Egypt","EGY",48,50,0,NA,0,0
2000,"Somalia","SOM","Egypt","EGY",2610,1515,0,NA,0,0
2000,"Sudan","SDN","Egypt","EGY",2833,8727,0,NA,0,0
2000,"Iraq","IRQ","Argentina","ARG",13,5,0,NA,0,0
2000,"Somalia","SOM","Argentina","ARG",5,7,0,NA,0,0
2000,"Afghanistan","AFG","Australia","AUS",4358,376,0,NA,0,0
2000,"Iraq","IRQ","Australia","AUS",10521,358,0,NA,0,0
2000,"Somalia","SOM","Australia","AUS",2094,18,0,NA,0,0
2000,"Sudan","SDN","Australia","AUS",2872,15,0,NA,0,0
2000,"Syrian Arab Rep.","SYR","Australia","AUS",61,61,0,NA,0,0
2000,"Afghanistan","AFG","Austria","AUT",679,0,0,NA,0,0
2000,"Iraq","IRQ","Austria","AUT",1902,0,0,NA,0,0
2000,"Somalia","SOM","Austria","AUT",54,0,0,NA,0,0
2000,"Sudan","SDN","Austria","AUT",29,0,0,NA,0,0
2000,"Syrian Arab Rep.","SYR","Austria","AUT",85,0,0,NA,0,0
2000,"Afghanistan","AFG","Azerbaijan","AZE",172,843,0,NA,0,0
2000,"Iraq","IRQ","Azerbaijan","AZE",19,11,0,NA,0,0
2000,"Somalia","SOM","Burundi","BDI",11,13,0,NA,0,0
2000,"Afghanistan","AFG","Belgium","BEL",275,0,0,NA,0,0
2000,"Iraq","IRQ","Belgium","BEL",314,0,0,NA,0,0
2000,"Somalia","SOM","Belgium","BEL",263,0,0,NA,0,0
2000,"Sudan","SDN","Belgium","BEL",19,0,0,NA,0,0
2000,"Syrian Arab Rep.","SYR","Belgium","BEL",102,0,0,NA,0,0
2000,"Iraq","IRQ","Benin","BEN",5,0,0,NA,0,0
2000,"Sudan","SDN","Benin","BEN",28,0,0,NA,0,0
2000,"Somalia","SOM","Bangladesh","BGD",34,0,0,NA,0,0
2000,"Sudan","SDN","Burkina Faso","BFA",11,0,0,NA,0,0
