Year,Afghanistan,Iraq,Somalia,Sudan,Syrian Arab Rep.
2000,3587327,526165,475644,494351,5868
2001,3809763,530508,440120,489931,4861
2002,2510294,422504,432304,508863,18908
2003,2136039,368578,402329,606231,20817
2004,2414460,311890,389287,730631,21431
2005,2166139,262302,395544,693621,16395
2006,2107510,1450909,464026,686297,12328
2007,3057655,2309247,457345,523029,13684
2008,2833117,1903517,561146,419249,15206
2009,2887114,1785215,678297,368178,17915
2010,3054699,1683576,770143,387266,18451
2011,2664423,1428306,1077038,500005,19931
2012,2586132,746204,1136710,568935,729012
2013,2556483,401461,1121760,648936,2468323
2014,2596259,369960,1106430,665956,3887490
2015,2666294,264086,1123144,627080,4873236
2016,2501447,316056,1012320,650391,5524511
2017,2624265,362536,986386,694556,6310498
2018,2681267,372332,949637,724787,6654374
2019,2727556,336274,901596,734780,6615249
2020,2729148,325485,910654,771540,6596627
