Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","10/04/2021 21:53 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H02MqJ
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
1951,-,-,Australia,AUS,180000,0,0,,0,0
1951,-,-,Austria,AUT,282000,0,0,,0,0
1951,-,-,Belgium,BEL,55000,0,0,,0,0
1951,-,-,Canada,CAN,168511,0,0,,0,0
1951,-,-,Denmark,DNK,2000,0,0,,0,0
1951,-,-,France,FRA,290000,0,0,,0,0
1951,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,208000,0,0,,0,0
1951,-,-,Germany,DEU,265000,0,0,,0,0
1951,-,-,Greece,GRC,18000,0,0,,0,0
1951,-,-,"China, Hong Kong SAR",HKG,30000,0,0,,0,0
1951,-,-,Italy,ITA,26500,0,0,,0,0
1951,-,-,Luxembourg,LUX,1800,0,0,,0,0
1951,-,-,Morocco,MAR,3000,0,0,,0,0
1951,-,-,Netherlands,NLD,14200,0,0,,0,0
1951,-,-,Norway,NOR,2500,0,0,,0,0
1951,-,-,Spain,ESP,2000,0,0,,0,0
1951,-,-,Sweden,SWE,44000,0,0,,0,0
1951,-,-,Switzerland,CHE,10000,0,0,,0,0
1951,-,-,Tunisia,TUN,2000,0,0,,0,0
1951,-,-,Turkey,TUR,2700,0,0,,0,0
1951,-,-,"United States of America",USA,350000,0,0,,0,0
1951,-,-,"Unknown ",,158800,0,0,,0,0
1952,-,-,Austria,AUT,238200,0,0,,0,0
1952,-,-,Belgium,BEL,53500,0,0,,0,0
1952,-,-,Canada,CAN,154828,0,0,,0,0
1952,-,-,Denmark,DNK,1800,0,0,,0,0
1952,-,-,France,FRA,280000,0,0,,0,0
1952,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,200000,0,0,,0,0
1952,-,-,Germany,DEU,240000,0,0,,0,0
1952,-,-,Greece,GRC,19000,0,0,,0,0
1952,-,-,Italy,ITA,25500,0,0,,0,0
1952,-,-,Luxembourg,LUX,1800,0,0,,0,0
1952,-,-,Morocco,MAR,2900,0,0,,0,0
1952,-,-,Netherlands,NLD,14100,0,0,,0,0
1952,-,-,Norway,NOR,2500,0,0,,0,0
1952,-,-,Sweden,SWE,42000,0,0,,0,0
1952,-,-,Switzerland,CHE,9800,0,0,,0,0
1952,-,-,Turkey,TUR,2000,0,0,,0,0
1952,-,-,"United States of America",USA,500000,0,0,,0,0
1952,-,-,"Unknown ",,165000,0,0,,0,0
1953,-,-,Austria,AUT,215200,0,0,,0,0
1953,-,-,Belgium,BEL,53000,0,0,,0,0
1953,-,-,Canada,CAN,107004,0,0,,0,0
1953,-,-,Denmark,DNK,1600,0,0,,0,0
