Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","08/04/2021 17:45 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=68pPz6
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
1951,"Unknown ",,-,-,2116011,0,0,,0,0
1952,"Unknown ",,-,-,1952928,0,0,,0,0
1953,"Unknown ",,-,-,1847304,0,0,,0,0
1954,"Unknown ",,-,-,1749628,0,0,,0,0
1955,"Unknown ",,-,-,1717966,0,0,,0,0
1956,"Unknown ",,-,-,1767975,0,0,,0,0
1957,"Unknown ",,-,-,1742514,0,0,,0,0
1958,"Unknown ",,-,-,1698310,0,0,,0,0
1959,"Unknown ",,-,-,1674185,0,0,,0,0
1960,Angola,AGO,-,-,150000,0,0,,0,0
1960,"Unknown ",,-,-,1506664,0,0,,0,0
1961,Angola,AGO,-,-,150000,0,0,,0,0
1961,Ghana,GHA,-,-,5000,0,0,,0,0
1961,Rwanda,RWA,-,-,147000,0,0,,0,0
1961,"Unknown ",,-,-,1487067,0,0,,0,0
1962,Angola,AGO,-,-,170000,0,0,,0,0
1962,Ghana,GHA,-,-,5000,0,0,,0,0
1962,Rwanda,RWA,-,-,147000,0,0,,0,0
1962,"Unknown ",,-,-,1443622,0,0,,0,0
1963,Angola,AGO,-,-,175000,0,0,,0,0
1963,Ghana,GHA,-,-,5000,0,0,,0,0
1963,Guinea-Bissau,GNB,-,-,6000,0,0,,0,0
1963,Rwanda,RWA,-,-,154000,0,0,,0,0
1963,Sudan,SDN,-,-,13000,0,0,,0,0
1963,"Unknown ",,-,-,1329403,0,0,,0,0
1964,Albania,ALB,-,-,100,0,0,,0,0
1964,Angola,AGO,-,-,200000,0,0,,0,0
1964,Armenia,ARM,-,-,170,0,0,,0,0
1964,China,CHN,-,-,1200000,0,0,,0,0
1964,"Dem. Rep. of the Congo",COD,-,-,58700,0,0,,0,0
1964,Ghana,GHA,-,-,5000,0,0,,0,0
1964,Guinea-Bissau,GNB,-,-,30000,0,0,,0,0
1964,Mozambique,MOZ,-,-,10000,0,0,,0,0
1964,"Russian Federation",RUS,-,-,120,0,0,,0,0
1964,Rwanda,RWA,-,-,166300,0,0,,0,0
1964,"Viet Nam",VNM,-,-,10000,0,0,,0,0
1964,Sudan,SDN,-,-,20300,0,0,,0,0
1964,Tibetan,TIB,-,-,51000,0,0,,0,0
1964,"Unknown ",,-,-,1328259,0,0,,0,0
1965,Albania,ALB,-,-,4860,0,0,,0,0
1965,Angola,AGO,-,-,220000,0,0,,0,0
1965,Burundi,BDI,-,-,3000,0,0,,0,0
1965,China,CHN,-,-,1330000,0,0,,0,0
1965,"Dem. Rep. of the Congo",COD,-,-,47000,0,0,,0,0
1965,Ghana,GHA,-,-,5000,0,0,,0,0
1965,Guinea-Bissau,GNB,-,-,50000,0,0,,0,0
1965,Greece,GRC,-,-,17690,0,0,,0,0
1965,Hungary,HUN,-,-,3270,0,0,,0,0
1965,Mozambique,MOZ,-,-,17000,0,0,,0,0
1965,Rwanda,RWA,-,-,155900,0,0,,0,0
1965,"Viet Nam",VNM,-,-,15000,0,0,,0,0
1965,Sudan,SDN,-,-,81560,0,0,,0,0
1965,Tibetan,TIB,-,-,52000,0,0,,0,0
1965,"Unknown ",,-,-,1529335,0,0,,0,0
1966,Albania,ALB,-,-,4860,0,0,,0,0
1966,Angola,AGO,-,-,303800,0,0,,0,0
1966,Burundi,BDI,-,-,250,0,0,,0,0
1966,China,CHN,-,-,1326810,0,0,,0,0
1966,"Dem. Rep. of the Congo",COD,-,-,74800,0,0,,0,0
1966,"Cabo Verde",CPV,-,-,300,0,0,,0,0
1966,Guinea-Bissau,GNB,-,-,61050,0,0,,0,0
1966,Greece,GRC,-,-,7090,0,0,,0,0
1966,Hungary,HUN,-,-,3270,0,0,,0,0
1966,Malawi,MWI,-,-,150,0,0,,0,0
1966,Mozambique,MOZ,-,-,20800,0,0,,0,0
1966,Namibia,NAM,-,-,180,0,0,,0,0
1966,"South Africa",ZAF,-,-,390,0,0,,0,0
1966,"Russian Federation",RUS,-,-,17970,0,0,,0,0
1966,Rwanda,RWA,-,-,159600,0,0,,0,0
1966,"Viet Nam",VNM,-,-,17000,0,0,,0,0
1966,Sudan,SDN,-,-,115000,0,0,,0,0
1966,Tibetan,TIB,-,-,52000,0,0,,0,0
1966,"Unknown ",,-,-,1335693,0,0,,0,0
1967,Albania,ALB,-,-,4260,0,0,,0,0
1967,Angola,AGO,-,-,356200,0,0,,0,0
1967,China,CHN,-,-,74000,0,0,,0,0
1967,Congo,COG,-,-,930,0,0,,0,0
1967,"Dem. Rep. of the Congo",COD,-,-,78190,0,0,,0,0
1967,"Cabo Verde",CPV,-,-,300,0,0,,0,0
1967,Ethiopia,ETH,-,-,28600,0,0,,0,0
1967,Guinea-Bissau,GNB,-,-,59520,0,0,,0,0
1967,Greece,GRC,-,-,23420,0,0,,0,0
1967,Hungary,HUN,-,-,3270,0,0,,0,0
1967,Malawi,MWI,-,-,300,0,0,,0,0
1967,Mozambique,MOZ,-,-,27750,0,0,,0,0
1967,Namibia,NAM,-,-,230,0,0,,0,0
1967,"South Africa",ZAF,-,-,450,0,0,,0,0
1967,Rwanda,RWA,-,-,160230,0,0,,0,0
1967,"Viet Nam",VNM,-,-,20000,0,0,,0,0
1967,Sudan,SDN,-,-,120990,0,0,,0,0
1967,Tibetan,TIB,-,-,57180,0,0,,0,0
1967,"Unknown ",,-,-,1341171,0,0,,0,0
1968,Albania,ALB,-,-,4120,0,0,,0,0
1968,Angola,AGO,-,-,381360,0,0,,0,0
1968,Armenia,ARM,-,-,200,0,0,,0,0
1968,China,CHN,-,-,70000,0,0,,0,0
1968,Congo,COG,-,-,330,0,0,,0,0
1968,"Dem. Rep. of the Congo",COD,-,-,67330,0,0,,0,0
1968,"Cabo Verde",CPV,-,-,430,0,0,,0,0
1968,Ethiopia,ETH,-,-,31000,0,0,,0,0
1968,Guinea-Bissau,GNB,-,-,56740,0,0,,0,0
1968,Greece,GRC,-,-,21820,0,0,,0,0
1968,Hungary,HUN,-,-,3270,0,0,,0,0
1968,Iraq,IRQ,-,-,2700,0,0,,0,0
1968,Malawi,MWI,-,-,140,0,0,,0,0
1968,Mozambique,MOZ,-,-,33750,0,0,,0,0
1968,Namibia,NAM,-,-,1330,0,0,,0,0
1968,Nigeria,NGA,-,-,51100,0,0,,0,0
1968,"South Africa",ZAF,-,-,740,0,0,,0,0
1968,Rwanda,RWA,-,-,160100,0,0,,0,0
1968,"Viet Nam",VNM,-,-,22000,0,0,,0,0
1968,Sudan,SDN,-,-,175500,0,0,,0,0
1968,"Syrian Arab Rep.",SYR,-,-,1200,0,0,,0,0
1968,Zambia,ZMB,-,-,15000,0,0,,0,0
1968,Tibetan,TIB,-,-,62730,0,0,,0,0
1968,"Unknown ",,-,-,1300846,0,0,,0,0
1969,Albania,ALB,-,-,4290,0,0,,0,0
1969,Angola,AGO,-,-,408190,0,0,,0,0
1969,Armenia,ARM,-,-,200,0,0,,0,0
1969,Bulgaria,BGR,-,-,90,0,0,,0,0
1969,China,CHN,-,-,65000,0,0,,0,0
1969,"Dem. Rep. of the Congo",COD,-,-,54530,0,0,,0,0
1969,Cuba,CUB,-,-,14500,0,0,,0,0
1969,"Cabo Verde",CPV,-,-,400,0,0,,0,0
1969,Ethiopia,ETH,-,-,31000,0,0,,0,0
1969,Guinea-Bissau,GNB,-,-,67800,0,0,,0,0
1969,Greece,GRC,-,-,21590,0,0,,0,0
1969,Hungary,HUN,-,-,3360,0,0,,0,0
1969,Iraq,IRQ,-,-,2700,0,0,,0,0
1969,Malawi,MWI,-,-,190,0,0,,0,0
1969,Mozambique,MOZ,-,-,43120,0,0,,0,0
1969,Namibia,NAM,-,-,840,0,0,,0,0
1969,Nigeria,NGA,-,-,2850,0,0,,0,0
1969,"South Africa",ZAF,-,-,290,0,0,,0,0
1969,Rwanda,RWA,-,-,144930,0,0,,0,0
1969,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,130,0,0,,0,0
1969,"Viet Nam",VNM,-,-,22000,0,0,,0,0
1969,Sudan,SDN,-,-,170400,0,0,,0,0
1969,"Syrian Arab Rep.",SYR,-,-,1200,0,0,,0,0
1969,Zambia,ZMB,-,-,13000,0,0,,0,0
1969,Tibetan,TIB,-,-,64140,0,0,,0,0
1969,"Unknown ",,-,-,1394437,0,0,,0,0
1970,Albania,ALB,-,-,4310,0,0,,0,0
1970,Angola,AGO,-,-,414120,0,0,,0,0
1970,Armenia,ARM,-,-,200,0,0,,0,0
1970,"Bolivia (Plurinational State of)",BOL,-,-,1400,0,0,,0,0
1970,Bulgaria,BGR,-,-,320,0,0,,0,0
1970,Chad,TCD,-,-,1900,0,0,,0,0
1970,China,CHN,-,-,66000,0,0,,0,0
1970,"Dem. Rep. of the Congo",COD,-,-,51650,0,0,,0,0
1970,Cuba,CUB,-,-,16700,0,0,,0,0
1970,"Cabo Verde",CPV,-,-,400,0,0,,0,0
1970,Czechia,CZE,-,-,70,0,0,,0,0
1970,Ethiopia,ETH,-,-,54350,0,0,,0,0
1970,Guinea-Bissau,GNB,-,-,66660,0,0,,0,0
1970,Greece,GRC,-,-,21290,0,0,,0,0
1970,Hungary,HUN,-,-,3490,0,0,,0,0
1970,Malawi,MWI,-,-,250,0,0,,0,0
1970,Mozambique,MOZ,-,-,60070,0,0,,0,0
1970,Namibia,NAM,-,-,900,0,0,,0,0
1970,Poland,POL,-,-,150,0,0,,0,0
1970,Romania,ROU,-,-,100,0,0,,0,0
1970,"South Africa",ZAF,-,-,460,0,0,,0,0
1970,"Russian Federation",RUS,-,-,170,0,0,,0,0
