Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,31.44885063,..,..,..,..,..,..,43.01971817,..,..
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,46.99005127,..,..,..,..,..,..,65.42054749,..,..
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,90.2,87.6,84.9,82.3,79.6,77,74.3,71.7,69,66.5,64.1,61.7,59.5,57.2,55.2,53.2,51.3,49.6,48,46.5,..
Afghanistan,AFG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,8.175588083,..,..,..,..,..,..,..,..,..,11.03092398,..,..,..,..,16.38996468,..,..,..,17.28846373,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.718,11.387,11.048,10.704,10.356,10.003,9.645,9.287,8.932,8.584,8.25,7.936,7.645,7.38,7.141,6.929,6.742,6.575,6.423,..,..
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.3,0.39,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.53,0.53,0.5,0.5,0.5,0.39,..,..,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,179.426611,190.6838143,211.3821169,242.0312849,263.7336917,359.6932375,364.6607448,438.0760344,543.3030419,591.162759,641.8714792,637.1655232,613.8566892,578.4663529,509.2186613,519.8847731,493.7504181,507.1034319,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,98.71298218,..,..,..,..,..,..,95.93863678,..,..,96.84529877,97.24697113,..,..,..,..,..,98.14115143,..,..
Albania,ALB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,99.43515015,..,..,..,..,..,..,98.83120728,..,..,98.7911911,99.23139954,..,..,..,..,..,99.33000183,..,..
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,24.1,22.9,21.7,20.4,19.1,17.8,16.5,15.3,14.1,12.9,11.8,10.8,10,9.3,8.8,8.5,8.4,8.4,8.5,8.6,..
Albania,ALB,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.748300281,..,..,..,..,..,..,..,..,..,6.141520509,..,..,..,..,4.1268147,..,..,..,3.035996411,..
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.914,5.879,5.891,5.952,6.061,6.206,6.365,6.518,6.65,6.756,6.841,6.915,6.996,7.096,7.219,7.367,7.534,7.714,7.898,..,..
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.26,3.26,3.14,3.07,3.01,3.08,3.12,3.09,..,3.01,2.99,2.88,2.88,2.89,..,..,..,..,..,..,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5353.244856,..
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,69.87349701,..,..,..,72.64868164,..,75.13604736,..,..,..,..,..,..,..,..,..,81.40783691,..,..
Algeria,DZA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,90.13720703,..,..,..,91.7796402,..,93.76732635,..,..,..,..,..,..,..,..,..,97.4265213,..,..
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,33.9,33.2,32.4,31.3,30.1,28.8,27.6,26.4,25.3,24.4,23.6,22.9,22.5,22.1,21.9,21.6,21.3,20.9,20.4,20,..
Algeria,DZA,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,12.32792359,..,..,..,..,..,..,..,..,..,9.17590329,..,..,..,..,8.263642029,..,..,..,7.660040042,..
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.961,4.882,4.814,4.757,4.71,4.674,4.651,4.639,4.637,4.643,4.656,4.67,4.685,4.699,4.709,4.715,4.717,4.717,4.716,..,..
Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..,..,1.9,..,..,..,..,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1765.022198,1740.607011,1781.825546,2103.381822,2609.952823,3113.095331,3478.710929,3946.664452,4923.843185,3883.132425,4479.34172,5462.260897,5591.212353,5498.784095,5494.352336,4187.509727,3945.482081,4111.29411,4153.733978,3973.964072,..
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,..,..,..,..,..,4,..,..,..,..,..,..,..,4.2,..,..,5.1,..,..,..
American Samoa,ASM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,8700.067705,8856.547459,8578.944723,8444.9817,8391.561067,8909.449156,9792.666806,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,..,..
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.6,6.3,6.1,5.8,5.6,5.4,5.1,4.9,4.7,4.5,4.3,4,3.9,3.7,3.5,3.3,3.2,3.1,2.9,2.8,..
Andorra,AND,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,..,..,..,3.8,3.6,3.3,2.8,2.8,3.2,2.8,..,3.9,..,..,..,4.3,..,4.4,..,..
Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.200000048,2.589999914,..,3.299999952,..,2.7,2.6,2.6,..,2.5,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,21854.2468,22971.53554,25066.88221,32271.9639,37969.17499,40066.25692,42675.81276,47803.69361,48718.49687,43503.18552,40852.66678,43335.32886,38686.46126,39538.76672,41303.92937,35762.52307,37474.66541,38962.88035,41793.05526,40886.39116,..
